Test,VI,Connect Time (ms),Load Time (ms),Cross-Compiled VIs (VIs),Deploy&Start Time (ms),Deploy Time (ms),Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1881,15,7.000000,722,716,4
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,2230,38,23.000000,1815,1793,30221
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1645,10,7.000000,704,699,5
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,2132,18,15.000000,1203,1195,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,2158,11,7.000000,708,702,6
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,2180,46,26.000000,2026,1999,30233
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,2206,11,7.000000,720,714,5
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,2152,156,18.000000,1482,1464,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,2136,11,7.000000,735,729,3
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1624,39,23.000000,1821,1798,30292
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,2196,10,7.000000,708,701,3
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,2148,17,15.000000,1236,1228,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,2151,10,7.000000,713,708,3
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,2178,46,26.000000,2031,2000,30464
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,2139,10,7.000000,705,699,3
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,2169,156,18.000000,1466,1444,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,2275,11,7.000000,726,720,4
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,2165,35,21.000000,1633,1611,5183
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1782,10,7.000000,710,704,3
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,2153,17,15.000000,1187,1179,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1824,12,7.000000,745,739,4
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,2337,43,24.000000,1868,1837,5158
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1795,10,7.000000,727,721,3
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,2208,171,18.000000,1412,1391,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1800,10,7.000000,735,729,7
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,2149,43,24.000000,1859,1836,30741
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,2144,10,7.000000,764,758,4
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,2145,20,16.000000,1258,1249,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,2173,11,7.000000,716,711,3
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,2195,48,27.000000,2097,2064,32268
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,2127,11,7.000000,709,703,3
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,2145,158,19.000000,1477,1456,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,2148,11,7.000000,730,725,4
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,2127,38,22.000000,1690,1668,5256
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1840,10,7.000000,709,703,3
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,2171,20,16.000000,1223,1215,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1787,11,7.000000,709,702,6
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,2168,46,25.000000,1918,1887,5157
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1795,11,7.000000,716,710,3
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,2170,172,19.000000,1456,1435,
