Test,VI,Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,15924
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,15926
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,30235
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,15923
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,15729
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,30253
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,15931
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,15929
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,30240
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,15907
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,15923
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,30239
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,15936
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,15904
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,5256
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,15928
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,15933
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,5256
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,15744
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,15912
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,30708
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,15923
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,15933
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,34293
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,15930
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,15920
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,5255
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,15921
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,15927
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,5157
