Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,956959.0000,956802.0000,956802.0000,956802.0000,157.000,0.000,157.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,957107.0000,956512.0000,956280.0000,956280.0000,595.000,232.000,827.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,957390.0000,957209.0000,957209.0000,957209.0000,181.000,0.000,181.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,957382.0000,957022.0000,,,360.000,,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,954763.0000,954907.0000,954907.0000,954907.0000,-144.000,0.000,-144.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,957053.0000,956019.0000,955875.0000,955875.0000,1034.000,144.000,1178.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,956891.0000,956597.0000,956597.0000,956597.0000,294.000,0.000,294.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,957168.0000,956392.0000,,,776.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,953681.0000,953853.0000,953853.0000,953853.0000,-172.000,0.000,-172.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,957238.0000,956790.0000,956800.0000,956800.0000,448.000,-10.000,438.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,957231.0000,957079.0000,957079.0000,957079.0000,152.000,0.000,152.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,957381.0000,956993.0000,,,388.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,957359.0000,957235.0000,957235.0000,957235.0000,124.000,0.000,124.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,957537.0000,956545.0000,956505.0000,956505.0000,992.000,40.000,1032.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,957400.0000,957203.0000,957203.0000,957203.0000,197.000,0.000,197.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,957384.0000,956587.0000,,,797.000,,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,957507.0000,957348.0000,957348.0000,957348.0000,159.000,0.000,159.000
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,957517.0000,957018.0000,957012.0000,957012.0000,499.000,6.000,505.000
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,957524.0000,957326.0000,957326.0000,957326.0000,198.000,0.000,198.000
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,957505.0000,957037.0000,,,468.000,,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,957367.0000,957213.0000,957213.0000,957213.0000,154.000,0.000,154.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,957250.0000,956323.0000,956429.0000,956429.0000,927.000,-106.000,821.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,956957.0000,956793.0000,956793.0000,956793.0000,164.000,0.000,164.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,956708.0000,955919.0000,,,789.000,,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,956695.0000,956497.0000,956497.0000,956497.0000,198.000,0.000,198.000
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,956667.0000,956102.0000,956030.0000,956030.0000,565.000,72.000,637.000
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,956961.0000,956764.0000,956764.0000,956764.0000,197.000,0.000,197.000
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,956693.0000,956308.0000,,,385.000,,
