Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,956929.0000,956777.0000,956777.0000,956777.0000,152.000,0.000,152.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,956952.0000,955926.0000,955933.0000,955933.0000,1026.000,-7.000,1019.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,956806.0000,956773.0000,956773.0000,956773.0000,33.000,0.000,33.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,956936.0000,956140.0000,,,796.000,,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,956927.0000,956642.0000,956642.0000,956642.0000,285.000,0.000,285.000
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,956923.0000,956306.0000,956298.0000,956298.0000,617.000,8.000,625.000
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,956802.0000,956604.0000,956604.0000,956604.0000,198.000,0.000,198.000
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,956800.0000,956464.0000,,,336.000,,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,957073.0000,956875.0000,956875.0000,956875.0000,198.000,0.000,198.000
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,956928.0000,956165.0000,956111.0000,956111.0000,763.000,54.000,817.000
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,957056.0000,956769.0000,956769.0000,956769.0000,287.000,0.000,287.000
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,957049.0000,956300.0000,,,749.000,,
