Test,VI,Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18578
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18561
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,30515
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18568
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18566
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,30506
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18577
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18573
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,30552
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18566
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18555
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,30478
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18551
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18568
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,5166
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18565
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18567
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,5256
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18576
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18569
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,30689
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18562
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18571
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,35490
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18570
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18574
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,5258
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18583
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18557
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,6158
