Test,VI,Connect Time (ms),Load Time (ms),Cross-Compiled VIs (VIs),Deploy&Start Time (ms),Deploy Time (ms),Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1786,15,7.000000,780,775,3
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1629,37,23.000000,2111,2084,30299
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1715,11,7.000000,764,760,4
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1648,17,15.000000,1360,1353,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1712,10,7.000000,755,749,6
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1679,541,26.000000,2254,2219,30286
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1573,10,7.000000,754,750,6
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1743,803,18.000000,1680,1661,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1699,10,7.000000,851,847,3
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1594,192,23.000000,2060,2038,30508
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1685,10,7.000000,763,759,6
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1733,136,15.000000,1381,1373,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1616,10,7.000000,755,749,3
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1604,192,26.000000,2347,2316,30349
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1721,10,7.000000,773,767,3
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1566,272,18.000000,1652,1632,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1646,10,7.000000,790,785,3
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1724,176,21.000000,1920,1895,5176
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1681,11,7.000000,773,769,3
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1671,97,15.000000,1314,1307,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1720,10,7.000000,778,773,3
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1657,187,24.000000,2184,2155,5181
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1725,10,7.000000,775,771,3
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1677,238,18.000000,1617,1597,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1593,10,7.000000,779,775,3
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1712,328,24.000000,2209,2188,30476
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1731,10,7.000000,776,772,2
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1644,250,16.000000,1454,1446,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1577,11,7.000000,779,775,4
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1663,528,27.000000,2333,2302,30554
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1662,11,7.000000,778,774,9
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1138,811,19.000000,1681,1660,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1696,11,7.000000,777,773,3
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1605,178,22.000000,2001,1974,5204
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1654,11,7.000000,774,770,4
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1674,100,16.000000,1364,1358,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1625,11,7.000000,812,808,3
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1637,187,25.000000,2186,2156,5226
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1753,11,7.000000,774,769,2
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1689,237,19.000000,1716,1691,
