Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,432232.0000,430216.0000,430216.0000,427856.0000,2016.000,0.000,2016.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,427432.0000,427252.0000,425264.0000,425264.0000,180.000,1988.000,2168.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,425420.0000,425496.0000,425496.0000,425684.0000,-76.000,0.000,-76.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,425692.0000,425284.0000,,,408.000,,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,425124.0000,425124.0000,425124.0000,425140.0000,0.000,0.000,0.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,425492.0000,425380.0000,425860.0000,425860.0000,112.000,-480.000,-368.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,426004.0000,425832.0000,425832.0000,425756.0000,172.000,0.000,172.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,425484.0000,425416.0000,,,68.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,421624.0000,421624.0000,421624.0000,421616.0000,0.000,0.000,0.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,423904.0000,423980.0000,423856.0000,423856.0000,-76.000,124.000,48.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,423824.0000,423848.0000,423848.0000,424120.0000,-24.000,0.000,-24.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,423948.0000,423980.0000,,,-32.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,424636.0000,424560.0000,424560.0000,424496.0000,76.000,0.000,76.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,424368.0000,424328.0000,424144.0000,424144.0000,40.000,184.000,224.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,424532.0000,424396.0000,424396.0000,424460.0000,136.000,0.000,136.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,424320.0000,424176.0000,,,144.000,,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,422388.0000,422436.0000,422436.0000,422436.0000,-48.000,0.000,-48.000
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,422416.0000,422312.0000,422444.0000,422444.0000,104.000,-132.000,-28.000
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,422404.0000,422544.0000,422544.0000,422544.0000,-140.000,0.000,-140.000
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,422332.0000,422220.0000,,,112.000,,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,422404.0000,422436.0000,422436.0000,422452.0000,-32.000,0.000,-32.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,422436.0000,422356.0000,422276.0000,422276.0000,80.000,80.000,160.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,422296.0000,422288.0000,422288.0000,422428.0000,8.000,0.000,8.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,422196.0000,421248.0000,,,948.000,,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,422504.0000,422488.0000,422488.0000,422520.0000,16.000,0.000,16.000
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,422084.0000,422108.0000,422208.0000,422208.0000,-24.000,-100.000,-124.000
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,422100.0000,422084.0000,422084.0000,422132.0000,16.000,0.000,16.000
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,421620.0000,421552.0000,,,68.000,,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,421844.0000,421836.0000,421836.0000,421852.0000,8.000,0.000,8.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,421556.0000,421460.0000,421388.0000,421388.0000,96.000,72.000,168.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,421516.0000,421484.0000,421484.0000,421532.0000,32.000,0.000,32.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,421532.0000,421280.0000,,,252.000,,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,421996.0000,421584.0000,421584.0000,421676.0000,412.000,0.000,412.000
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,421628.0000,421536.0000,421668.0000,421668.0000,92.000,-132.000,-40.000
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,421612.0000,421496.0000,421496.0000,421620.0000,116.000,0.000,116.000
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,421620.0000,421668.0000,,,-48.000,,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,421660.0000,421608.0000,421608.0000,421516.0000,52.000,0.000,52.000
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,421268.0000,421420.0000,421296.0000,421296.0000,-152.000,124.000,-28.000
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,421344.0000,421400.0000,421400.0000,421524.0000,-56.000,0.000,-56.000
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,421236.0000,421304.0000,,,-68.000,,
