Test,VI,Connect Time (ms),Load Time (ms),Cross-Compiled VIs (VIs),Deploy&Start Time (ms),Deploy Time (ms),Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1784,18,7.000000,947,942,13
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1028,41,23.000000,2388,2357,30550
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1660,10,7.000000,823,818,12
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1465,17,15.000000,1515,1508,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1508,10,7.000000,877,873,13
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1029,47,26.000000,2652,2617,30488
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1529,11,7.000000,858,854,12
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1573,156,18.000000,1713,1690,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1582,11,7.000000,887,883,12
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1628,38,23.000000,2365,2336,31338
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1639,10,7.000000,862,858,12
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1484,17,15.000000,1517,1511,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1614,10,7.000000,805,800,13
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1539,47,26.000000,2602,2566,31351
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1571,10,7.000000,877,873,13
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1573,155,18.000000,1815,1790,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1587,11,7.000000,842,838,12
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1662,34,21.000000,2112,2084,5196
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1587,10,7.000000,840,835,13
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1617,17,15.000000,1441,1434,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1636,10,7.000000,849,845,11
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1650,43,24.000000,2412,2380,5184
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1586,10,7.000000,869,864,12
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1519,159,18.000000,1770,1741,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1568,11,7.000000,858,853,13
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1533,41,24.000000,2352,2322,30715
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1639,10,7.000000,867,863,12
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1557,20,16.000000,1533,1527,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1680,10,7.000000,867,863,12
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1618,49,27.000000,2769,2736,31499
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1614,10,7.000000,855,850,13
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1589,159,19.000000,1780,1752,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1651,11,7.000000,866,861,13
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1558,36,22.000000,2145,2124,5278
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1661,10,7.000000,879,875,12
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1609,19,16.000000,1444,1438,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1582,10,7.000000,840,836,13
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1501,46,25.000000,2448,2408,5182
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1502,10,7.000000,833,828,12
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1492,157,19.000000,1791,1769,
