Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1795120.0000,1795236.0000,1795236.0000,1795236.0000,-116.000,0.000,-116.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1794916.0000,1794424.0000,1792940.0000,1792940.0000,492.000,1484.000,1976.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1792932.0000,1793052.0000,1793052.0000,1793268.0000,-120.000,0.000,-120.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1792860.0000,1792972.0000,,,-112.000,,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1783552.0000,1783336.0000,1783336.0000,1783336.0000,216.000,0.000,216.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1783060.0000,1782848.0000,1782688.0000,1782688.0000,212.000,160.000,372.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1782664.0000,1782576.0000,1782576.0000,1782768.0000,88.000,0.000,88.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1782676.0000,1782284.0000,,,392.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1778676.0000,1778620.0000,1778620.0000,1778692.0000,56.000,0.000,56.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1786084.0000,1786312.0000,1784880.0000,1784880.0000,-228.000,1432.000,1204.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1785140.0000,1785468.0000,1785468.0000,1785388.0000,-328.000,0.000,-328.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1784964.0000,1785248.0000,,,-284.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1784512.0000,1784448.0000,1784448.0000,1784628.0000,64.000,0.000,64.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1784204.0000,1784460.0000,1783920.0000,1783920.0000,-256.000,540.000,284.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1783960.0000,1783920.0000,1783920.0000,1783672.0000,40.000,0.000,40.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1783060.0000,1782868.0000,,,192.000,,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1780260.0000,1780200.0000,1780200.0000,1780168.0000,60.000,0.000,60.000
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1780064.0000,1780244.0000,1780272.0000,1780272.0000,-180.000,-28.000,-208.000
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1780476.0000,1780396.0000,1780396.0000,1780504.0000,80.000,0.000,80.000
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1780136.0000,1780344.0000,,,-208.000,,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1780280.0000,1780312.0000,1780312.0000,1780324.0000,-32.000,0.000,-32.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1780176.0000,1779932.0000,1779864.0000,1779864.0000,244.000,68.000,312.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1780244.0000,1780312.0000,1780312.0000,1780440.0000,-68.000,0.000,-68.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1780280.0000,1780300.0000,,,-20.000,,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1780284.0000,1780364.0000,1780364.0000,1780268.0000,-80.000,0.000,-80.000
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1779748.0000,1780332.0000,1778544.0000,1778544.0000,-584.000,1788.000,1204.000
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1778608.0000,1778632.0000,1778632.0000,1778592.0000,-24.000,0.000,-24.000
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1778156.0000,1778380.0000,,,-224.000,,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1778364.0000,1778496.0000,1778496.0000,1778568.0000,-132.000,0.000,-132.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1778092.0000,1778160.0000,1774316.0000,1774316.0000,-68.000,3844.000,3776.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1774416.0000,1774456.0000,1774456.0000,1774392.0000,-40.000,0.000,-40.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1773800.0000,1773948.0000,,,-148.000,,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1774060.0000,1774032.0000,1774032.0000,1774140.0000,28.000,0.000,28.000
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1774036.0000,1773868.0000,1774376.0000,1774376.0000,168.000,-508.000,-340.000
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1773896.0000,1774008.0000,1774008.0000,1773928.0000,-112.000,0.000,-112.000
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1774104.0000,1774396.0000,,,-292.000,,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1774056.0000,1774056.0000,1774056.0000,1774016.0000,0.000,0.000,0.000
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1773796.0000,1773824.0000,1773960.0000,1773960.0000,-28.000,-136.000,-164.000
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1774216.0000,1774220.0000,1774220.0000,1774204.0000,-4.000,0.000,-4.000
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1773640.0000,1773552.0000,,,88.000,,
