Test,VI,Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18590
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18605
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,30449
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18579
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18589
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,30644
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18580
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18596
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,30653
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18585
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18593
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,30464
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18582
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18587
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,5177
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18585
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18592
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,5268
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18596
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18587
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,30815
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18581
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18602
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,35484
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18577
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18585
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,5257
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18582
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18592
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,6156
